molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50
CHEMBL407109,Cc1ccc(Nc2c(Cl)cc(Cl)cc2Cl)c(CC(=O)O)c1,28.0,nM,7.552841968657781
CHEMBL259218,Cc1ccc(Nc2c(Cl)cccc2Cl)c(CC(=O)O)c1,47.0,nM,7.327902142064283
CHEMBL261520,Nc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1,100000.0,nM,4.0
CHEMBL261321,Nc1ccc(C(=O)Nc2ccccc2C(F)(F)F)cc1,100000.0,nM,4.0
CHEMBL260564,Nc1cccc(C(=O)Nc2cccc(C(F)(F)F)c2)c1,100000.0,nM,4.0
CHEMBL442465,Nc1cccc(C(=O)Nc2ccccc2C(F)(F)F)c1,100000.0,nM,4.0
CHEMBL260566,Nc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1,100000.0,nM,4.0
CHEMBL261265,Nc1cccc(NC(=O)c2cccc(C(F)(F)F)c2)c1,100000.0,nM,4.0
CHEMBL261266,Nc1ccccc1NC(=O)c1cccc(C(F)(F)F)c1,100000.0,nM,4.0
CHEMBL408808,Nc1ccc(NC(=O)c2ccccc2C(F)(F)F)cc1,100000.0,nM,4.0
CHEMBL261485,Nc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,100000.0,nM,4.0
CHEMBL406881,Nc1ccccc1NC(=O)c1ccccc1C(F)(F)F,100000.0,nM,4.0
CHEMBL261598,Nc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1,100000.0,nM,4.0
CHEMBL406515,Nc1cccc(C(=O)Nc2ccc(C(F)(F)F)cc2)c1,100000.0,nM,4.0
CHEMBL261815,Nc1ccccc1C(=O)Nc1ccc(C(F)(F)F)cc1,100000.0,nM,4.0
CHEMBL279404,Nc1ccccc1C(=O)Nc1cccc(C(F)(F)F)c1,100000.0,nM,4.0
CHEMBL264163,Nc1ccccc1C(=O)Nc1ccccc1C(F)(F)F,100000.0,nM,4.0
CHEMBL405417,Nc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)cc1,100000.0,nM,4.0
CHEMBL406328,Nc1cccc(NC(=O)c2ccc(C(F)(F)F)cc2)c1,100000.0,nM,4.0
CHEMBL259539,Nc1ccccc1NC(=O)c1ccc(C(F)(F)F)cc1,100000.0,nM,4.0
CHEMBL260386,Nc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)nc1,100000.0,nM,4.0
CHEMBL260387,Nc1ccc(C(=O)Nc2ccc(C(F)(F)F)cn2)cc1,100000.0,nM,4.0
CHEMBL409023,Nc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)nc1,210000.0,nM,3.677780705266081
CHEMBL261550,Nc1ccnc(NC(=O)c2ccc(C(F)(F)F)cc2)c1,100000.0,nM,4.0
CHEMBL405319,Nc1cccnc1NC(=O)c1ccc(C(F)(F)F)cc1,100000.0,nM,4.0
CHEMBL429148,Nc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)nc1,100000.0,nM,4.0
CHEMBL258656,Nc1ccnc(NC(=O)c2cccc(C(F)(F)F)c2)c1,100000.0,nM,4.0
CHEMBL407577,Nc1cccnc1NC(=O)c1cccc(C(F)(F)F)c1,100000.0,nM,4.0
CHEMBL275809,COc1ccc(-c2nc(C(=O)N3CCN(C)CC3)sc2-c2ccc(OC)cc2)cc1,65000.0,nM,4.187086643357144
CHEMBL259972,COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1,440.0,nM,6.356547323513812
CHEMBL480462,Oc1ccc([C@@H]2c3c(O)cc(O)cc3[C@H]3[C@H](c4ccc(O)cc4)c4c(O)cc(O)cc4[C@@H]23)cc1,80000.0,nM,4.096910013008056
CHEMBL518935,Oc1ccc([C@H]2Oc3ccc(/C=C/c4cc(O)cc(O)c4)cc3[C@@H]2c2cc(O)cc(O)c2)cc1,3700.0,nM,5.431798275933005
CHEMBL503412,OC[C@H]1O[C@@H](Oc2cc(O)cc([C@H]3c4cc(/C=C/c5cc(O)cc(O)c5)ccc4O[C@@H]3c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,7500.0,nM,5.1249387366083
CHEMBL508588,Cc1ccc(-n2c(-c3ccc(Br)cc3)cs/c2=N\N=C/c2cn(-c3ccc(S(=O)(=O)/N=C/N(C)C)cc3)nc2-c2ccccc2)cc1,1290.0,nM,5.889410289700751
CHEMBL467837,CN(C)/C=N/S(=O)(=O)c1ccc(-n2cc(/C=N\N=C3/SCC(=O)N3c3ccc(Cl)cc3)c(-c3ccccc3)n2)cc1,640.0,nM,6.1938200260161125
CHEMBL476870,Cc1ccc(N2C(=O)CS/C2=N\N=C/c2cn(-c3ccc(S(=O)(=O)/N=C/N(C)C)cc3)nc2-c2ccccc2)cc1,1160.0,nM,5.935542010773082
CHEMBL470304,COc1ccc(-c2cn[se]c2-c2ccc(OC)cc2)cc1,8000.0,nM,5.096910013008056
CHEMBL134342,O=C(O)CCCC[C@@H]1CCSS1,0.0,nM,inf
CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,0.0,nM,inf
CHEMBL452744,CS(=O)(=O)c1ccc(-c2[se]ncc2-c2ccc(F)cc2)cc1,600.0,nM,6.221848749616356
CHEMBL501676,Clc1ccc(-c2cn[se]c2-c2ccc(Cl)cc2)cc1,0.0,nM,inf
CHEMBL471171,Cc1ccc(-c2[se]ncc2-c2ccc(Cl)cc2)cc1,0.0,nM,inf
CHEMBL513405,Cc1ccc(-c2cn[se]c2-c2ccc(Cl)cc2)cc1,0.0,nM,inf
CHEMBL452730,COc1ccc(-c2[se]ncc2-c2ccc(C)cc2)cc1,0.0,nM,inf
CHEMBL525246,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(F)cc3c2-c2ccccc2)cc1,5.0,nM,8.301029995663981
CHEMBL524542,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2cccc(Cl)c2)cc1,3.13,nM,8.504455662453552
CHEMBL526370,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(O)cc2)cc1,6.44,nM,8.191114132640188
CHEMBL525021,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1C,0.17,nM,9.769551078621726
CHEMBL499069,COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1,0.02,nM,10.698970004336019
CHEMBL499068,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,0.006,nM,11.221848749616356
CHEMBL499041,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(Br)cc2)cc1,8.36,nM,8.077793722560983
CHEMBL524304,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(Cl)cc2)cc1,146.0,nM,6.835647144215563
CHEMBL501208,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(F)cc2)cc1,0.02,nM,10.698970004336019
CHEMBL525250,Cc1ccc2[nH]c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)c2c1,0.28,nM,9.55284196865778
CHEMBL525247,Cc1ccc2[nH]c(-c3ccc(S(N)(=O)=O)cc3)c(-c3ccccc3)c2c1,0.02,nM,10.698970004336019
CHEMBL527107,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Br)cc3c2-c2ccccc2)cc1,1.41,nM,8.85078088734462
CHEMBL502286,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Br)cc3c2-c2ccccc2)cc1,5.0,nM,8.301029995663981
CHEMBL502285,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2)cc1,0.36,nM,9.443697499232712
CHEMBL499349,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2)cc1,0.14,nM,9.853871964321762
CHEMBL499348,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(F)cc3c2-c2ccccc2)cc1,2.0,nM,8.698970004336019
CHEMBL525020,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2Cl)cc1,10.0,nM,8.0
CHEMBL500935,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2Cl)cc1,100.0,nM,7.0
CHEMBL500675,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2cccc(Cl)c2)cc1,0.8,nM,9.096910013008056
CHEMBL526720,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccc(Cl)cc2)cc1,85.1,nM,7.070070439915412
CHEMBL500674,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccc(Cl)cc2)cc1,0.54,nM,9.267606240177031
CHEMBL500943,CC(=O)NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,0.18,nM,9.744727494896694
CHEMBL502556,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1C,1.46,nM,8.835647144215564
CHEMBL524543,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1,0.09,nM,10.045757490560675
CHEMBL502555,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,0.07,nM,10.154901959985743
CHEMBL502554,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(Br)cc2)cc1,0.37,nM,9.431798275933005
CHEMBL524662,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(Cl)cc2)cc1,33.5,nM,7.474955192963154
CHEMBL499347,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(F)cc2)cc1,5.15,nM,8.288192770958808
CHEMBL499070,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,0.6,nM,9.221848749616356
CHEMBL500936,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,0.09,nM,10.045757490560675
