molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50,mol,MolWt,LogP,HDonors,HAcceptors,TPSA
CHEMBL4238329,Cc1ccc(-n2nc(COC(=O)COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)cc2-c2ccc(Br)cc2)cc1,1080.0,nM,5.966576244513051,<rdkit.Chem.rdchem.Mol object at 0x000001624A719380>,637.4860000000003,7.211420000000006,1,7,103.79
CHEMBL4238681,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2ccc([N+](=O)[O-])cc2)n(-c2ccccc2)n1,1660.0,nM,5.779891911959945,<rdkit.Chem.rdchem.Mol object at 0x000001624A7193F0>,589.5600000000003,6.048700000000005,1,9,146.93
CHEMBL4242859,Cc1ccc(-n2nc(COC(=O)COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)cc2-c2ccc([N+](=O)[O-])cc2)cc1,1390.0,nM,5.856985199745905,<rdkit.Chem.rdchem.Mol object at 0x000001624A719460>,603.5870000000003,6.357120000000006,1,9,146.93
CHEMBL4244043,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2cccc([N+](=O)[O-])c2)n(-c2ccccc2)n1,5940.0,nM,5.226213555018807,<rdkit.Chem.rdchem.Mol object at 0x000001624A7194D0>,589.5600000000003,6.048700000000005,1,9,146.93
CHEMBL4239825,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2ccc(Cl)c(Cl)c2)n(-c2ccccc2)n1,6830.0,nM,5.165579296318468,<rdkit.Chem.rdchem.Mol object at 0x000001624A719540>,613.4530000000002,7.447300000000006,1,7,103.79
CHEMBL4240276,Cc1ccc(-n2nc(COC(=O)COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)cc2-c2ccc(Cl)c(Cl)c2)cc1,5020.0,nM,5.29929628285498,<rdkit.Chem.rdchem.Mol object at 0x000001624A7195B0>,627.4800000000002,7.7557200000000055,1,7,103.79
CHEMBL4250397,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2ccc(Cl)c(Cl)c2)n(-c2ccc(Cl)cc2)n1,8580.0,nM,5.066512712151295,<rdkit.Chem.rdchem.Mol object at 0x000001624A719620>,647.8980000000001,8.100700000000005,1,7,103.79
CHEMBL4241547,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2ccc(C(F)(F)F)cc2)n(-c2ccccc2)n1,4330.0,nM,5.363512103646634,<rdkit.Chem.rdchem.Mol object at 0x000001624A719690>,612.5600000000002,7.159300000000005,1,7,103.79
CHEMBL4247391,Cc1ccc(-n2nc(COC(=O)COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)cc2-c2ccc(C(F)(F)F)cc2)cc1,5020.0,nM,5.29929628285498,<rdkit.Chem.rdchem.Mol object at 0x000001624A719700>,626.5870000000004,7.467720000000006,1,7,103.79
CHEMBL4247830,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2cccc(C(F)(F)F)c2)n(-c2ccccc2)n1,4790.0,nM,5.319664486585437,<rdkit.Chem.rdchem.Mol object at 0x000001624A719770>,612.5600000000002,7.159300000000006,1,7,103.79
CHEMBL1034,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],800.0,nM,6.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x000001624A7197E0>,318.135,0.03339999999999904,1,3,52.16
CHEMBL4293133,C#CCSc1nc2ccccc2c(=O)n1-c1ccccc1,270.0,nM,6.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x000001624A719850>,292.363,3.1110000000000015,0,3,34.89
CHEMBL4279063,C#CCSc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,390.0,nM,6.4089353929735005,<rdkit.Chem.rdchem.Mol object at 0x000001624A7198C0>,326.808,3.764400000000002,0,3,34.89
CHEMBL4289748,C#CCSc1nc2ccccc2c(=O)n1-c1ccc(Br)cc1,180.0,nM,6.7447274948966935,<rdkit.Chem.rdchem.Mol object at 0x000001624A719930>,371.259,3.8735000000000017,0,3,34.89
CHEMBL4289328,C#CCSc1nc2ccccc2c(=O)n1-c1ccc(OC)cc1,440.0,nM,6.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x000001624A7199A0>,322.38900000000007,3.119600000000001,0,4,44.120000000000005
CHEMBL4281448,O=c1c2ccccc2nc(SCc2cn(-c3ccccc3)nn2)n1-c1ccccc1,890.0,nM,6.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x000001624A719A10>,411.49000000000007,4.258700000000003,0,5,65.6
